ID,OII3727,OII3727Err,OII3729,OII3729Err,Hb,HbErr,OIII5007,OIII5007Err,Ha,HaErr,EWHb,EWHbErr,EWOIII5007,EWOIII5007Err
UDS020394,3.4,-99,3.73,1.7,9.06,1.37,60.77,3.2,-99,-99,112.8,17.1,779,41.1
CDFS020954,11.22,1.57,9.51,1.5,18.15,0.97,112.83,12.9,-99,-99,153.5,8.2,984.4,112.6
CDFS023527,8.94,1.57,13.6,-99,-99,-99,122.12,21.4,-99,-99,-99,-99,437.6,76.7
UDS021601,-99,-99,8.46,1.87,6.1,1.44,32.2,1.2,-99,-99,48.5,11.5,260.3,9.7
CDFS022563,3.78,1.12,7.01,1.12,5.67,1.1,43.17,1.61,-99,-99,68.9,13.4,551.4,20.6
UDS022487,17.66,1.81,18.21,1.82,13.32,1.4,122.76,24.63,-99,-99,82.4,8.6,786.9,157.9
CDFS015347,3.03,0.86,2.44,-99,3.35,0.92,35.4,1.66,-99,-99,30.9,8.5,336.5,15.8
CDFS019276,22.7,3.61,30.3,3.6,37.17,2.15,151.27,24.9,-99,-99,53.1,3.1,222.8,36.7
UDS020928,13.49,1.8,19.33,2.06,13.96,2.42,136.21,13.19,-99,-99,59.8,10.4,601.1,58.2
CDFS019946,-99,-99,-99,-99,6.77,1.99,48.73,7.83,31.68,1.94,31.5,9.3,234.4,37.7
UDS020437,18.54,3.04,26.44,3.05,15.1,1,105.11,10.72,-99,-99,48.9,3.2,348.3,35.5
CDFS018182,-99,-99,-99,-99,26.53,1.35,157.75,11.43,88.82,3.24,49.8,2.5,305.6,22.1
CDFS018882,7.67,1.25,7.53,1.24,7.53,0.88,60.3,3.03,-99,-99,31.4,3.7,257.9,12.9
CDFS025828,11.67,2.25,15.87,2.42,4.47,1.62,38.66,1.29,-99,-99,11.9,4.3,108.2,3.6
CDFS022799,-99,-99,-99,-99,43.35,2.07,235.67,35.94,129.48,2.95,79.6,3.8,451.6,68.9
UDS021398,-99,-99,-99,-99,16.52,5.61,125.81,11.47,74.42,3.97,47.8,16.2,377.7,34.4
UDS015872,-99,-99,-99,-99,16.7,1.64,66.21,7.38,62.61,2.68,25.4,2.5,102.2,11.4
5100998761,3.78,1.89,5.13,-99,10.66,1.64,103.76,6.6,35.09,6.2,153.1,23.6,1549.8,98.5
5101444192,5.66,2.83,-99,-99,23.19,4.1,241.86,4.59,-99,-99,144.7,25.5,1560.8,29.6
510994594,9.93,-99,-99,-99,13.04,1.4,122.7,8.85,-99,-99,49.5,5.3,463,33.4
5101421970,8.24,3.37,7.91,3.37,25.89,1.57,168.87,16.98,89.04,7.73,49.7,3,322.4,32.4
510838687,40.52,8.34,16.7,-99,34.38,-99,125.5,3.1,30.18,5.72,6.7,-99,630.6,15.6
5100556178,11.95,-99,25.47,5.98,24.09,-99,126.42,4.44,93.04,12.51,4.9,-99,642.8,22.6
511229433,20.92,6.06,23.49,6.06,39.02,2.06,271.06,14.51,-99,-99,245.1,13,1715.7,91.8
511245444,-99,-99,-99,-99,-99,-99,201.06,45.9,-99,-99,-99,-99,978.9,223.5
530048433,20.35,2.89,39.34,6.38,37.35,10.95,243.88,5.66,137.42,3.94,130.4,38.2,870.6,20.2
510583858,17.77,8.05,16.1,-99,33.75,2.33,233.86,22.94,131.38,11.18,64.9,4.5,445.5,43.7
511451385,10.2,5.01,10.02,-99,14.6,-99,53.19,1.17,67.08,-99,1.9,-99,304,6.7
511025693,16.4,2.38,16.96,2.4,34.89,1.25,239.5,18.03,-99,-99,146.1,5.2,1002.9,75.5
5100997733,4.71,-99,14.79,2.33,11.58,2.22,96.32,6.97,-99,-99,33.9,6.5,279.9,20.3
511228062,22.09,2.15,17.35,2.15,27.23,2.15,107.34,7.94,-99,-99,34.1,2.7,134.3,9.9
5101001604,3.52,-99,6.41,1.76,8.37,1.01,33.14,1.12,-99,-99,38.3,4.6,155.9,5.3
510996058,10.7,1.99,9.12,1.99,10.38,2.8,26.61,2.07,39.28,5.86,50.6,13.6,133.4,10.4
511001501,42.27,3.24,53.89,3.24,34.88,1.89,185.02,31.48,136.42,2.87,197.6,10.7,1060.6,180.4
530053714,10.59,3.43,6.86,-99,27.96,6.69,113.72,2.05,87.52,5.02,74,17.7,299.5,5.4
