Name;zcmb;zhel;mb;e_mb;x1;e_x1;c;e_c;logMst;e_logMst;tmax;e_tmax;cov(mb,s);cov(mb,c);cov(s,c);set;RAJ2000;DEJ2000;bias
03D1au      ;0.503;0.5043;23.002;0.088;1.273;0.15;-0.012;0.03;9.517;0.11;52909.745;0.214;0.00079;0.00044;-0.00003;1;36.04321;-4.037469;0.002
03D1aw      ;0.581;0.582;23.574;0.09;0.974;0.274;-0.025;0.037;9.169;0.088;52902.898;0.353;0.00282;0.00041;0.00157;1;36.061634;-4.517158;0.001
03D1ax      ;0.495;0.496;22.96;0.088;-0.729;0.102;-0.1;0.03;11.58;0.112;52915.924;0.112;0.00054;0.00047;-0.00002;1;36.097287;-4.720774;0.002
03D1bp      ;0.346;0.347;22.398;0.087;-1.155;0.113;-0.041;0.027;10.821;0.124;52920.249;0.103;0.00111;0.00062;0.00029;1;36.657235;-4.838779;0
03D1co      ;0.678;0.679;24.078;0.098;0.619;0.404;-0.039;0.067;8.647;0.284;52954.458;0.455;0.01186;0.00078;0.0059;1;36.567748;-4.93505;-0.003
03D1dt      ;0.611;0.612;23.285;0.093;-1.162;1.641;-0.095;0.05;9.715;0.092;52962.253;0.977;0.02967;0.00095;0.04436;1;36.629968;-4.052341;0
03D1ew      ;0.866;0.868;24.354;0.106;0.376;0.348;-0.063;0.068;8.53;0.805;52991.742;0.665;0.00318;-0.0016;0.00409;1;36.058795;-4.665852;-0.018
03D1fc      ;0.331;0.332;21.861;0.086;0.65;0.119;-0.018;0.024;10.391;0.036;53002.764;0.104;0.00101;0.00053;0.00054;1;36.431648;-4.144059;-0.001
03D1fq      ;0.799;0.8;24.51;0.102;-1.057;0.407;-0.056;0.065;10.651;0.127;52999.213;0.656;0.0059;-0.00112;0.00355;1;36.731935;-4.302217;-0.012
03D3aw      ;0.45;0.449;22.667;0.092;0.81;0.232;-0.086;0.038;10.695;0.034;52767.328;0.201;0.00547;0.00079;0.00066;1;215.223049;52.605624;0.001
03D3ay      ;0.371;0.3709;22.273;0.091;0.57;0.198;-0.054;0.033;10.198;0.068;52767.625;0.142;0.00491;0.0009;0.00091;1;214.49358;52.482613;0
03D3ba      ;0.292;0.2912;21.961;0.093;0.761;0.173;0.116;0.035;10.211;0.094;52749.605;0.805;-0.00291;0.00133;-0.00114;1;214.139297;52.34219;-0.001
03D3bl      ;0.356;0.3553;22.927;0.087;0.056;0.193;0.205;0.03;10.831;0.092;52787.142;0.289;0.00039;0.00066;-0.00053;1;214.982501;53.097401;0
03D3cd      ;0.461;0.4607;22.575;0.096;1.862;0.565;-0.043;0.038;9.339;0.152;52801.729;0.226;0.0219;0.00131;0.01088;1;214.666364;52.612079;0.002
03D4ag      ;0.284;0.285;21.257;0.087;0.937;0.105;-0.085;0.023;10.628;0.099;52830.931;0.096;0.00101;0.00052;-0.00024;1;333.690959;-17.739655;-0.001
03D4at      ;0.632;0.634;23.739;0.093;0.209;0.33;-0.051;0.067;8.751;0.078;52816.96;0.561;0.0037;0.00079;0.00145;1;333.600166;-17.776726;-0.001
03D4au      ;0.466;0.468;23.79;0.09;0.377;0.333;0.122;0.043;9.464;0.106;52816.177;0.504;0.00324;0.00084;0.00089;1;334.041366;-18.07759;0.002
03D4cj      ;0.269;0.27;21.058;0.086;1.151;0.085;-0.08;0.023;6;5;52889.694;0.093;0.0006;0.00054;-0.00004;1;334.027611;-17.704656;-0.001
03D4cx      ;0.947;0.949;24.46;0.115;-0.096;0.673;0.057;0.065;11.008;0.157;52882.827;1.128;0.01828;-0.00205;0.0013;1;333.64064;-17.587511;-0.026
03D4cy      ;0.925;0.927;24.706;0.125;0.863;0.64;-0.058;0.072;9.705;0.236;52900.101;0.8;0.02808;-0.00237;0.00675;1;333.418394;-17.681641;-0.024
03D4cz      ;0.693;0.695;24.032;0.1;-1.764;0.385;-0.077;0.085;10.389;0.245;52894.649;0.425;0.01038;0.00056;0.00685;1;334.174418;-17.926271;-0.004
03D4dh      ;0.625;0.627;23.387;0.091;1.128;0.184;-0.043;0.05;9.414;0.162;52906.261;0.266;0.00127;0.00065;-0.00029;1;334.37928;-17.629653;0
03D4di      ;0.897;0.899;24.333;0.11;1.454;0.416;-0.084;0.064;9.879;0.064;52901.059;0.534;0.00916;-0.00162;0.00386;1;333.542663;-17.506617;-0.021
03D4dy      ;0.608;0.61;23.245;0.091;1.138;0.183;-0.098;0.036;5.294;52.87;52904.254;0.257;0.00183;0.00039;0.00083;1;333.710523;-17.956479;0
03D4fd      ;0.789;0.791;24.222;0.1;0.784;0.472;-0.043;0.066;10.005;0.22;52938.532;0.701;0.00429;-0.00083;0.00488;1;334.060214;-17.395573;-0.011
03D4gf      ;0.578;0.58;23.324;0.09;0.509;0.312;-0.036;0.038;7.638;0.29;52936.584;0.41;0.00236;0.00038;0.00246;1;333.595552;-17.734032;0.001
03D4gg      ;0.59;0.592;23.431;0.093;1.001;0.435;0.012;0.04;10.162;0.006;52943.107;0.554;0.00661;0.00011;0.00011;1;334.167458;-18.164458;0.001
04D1aj      ;0.72;0.721;23.899;0.096;0.391;0.357;-0.034;0.067;6;5;52998.962;0.561;0.00505;-0.00024;0.00132;1;36.474835;-4.99461;-0.005
04D1dc      ;0.21;0.211;21.057;0.086;-1.236;0.062;-0.003;0.025;10.635;0.042;53230.68;0.16;-0.00011;0.0006;-0.0002;1;36.576935;-4.311968;-0.001
04D1de      ;0.767;0.768;24.132;0.097;0.906;0.244;-0.119;0.056;9.64;0.166;53245.997;0.244;0.00422;-0.00014;-0.00046;1;36.649621;-4.422623;-0.009
04D1ff      ;0.859;0.86;24.246;0.102;0.728;0.277;0.047;0.058;8.73;0.304;53251.194;0.334;0.00497;-0.00069;0.00072;1;36.410924;-4.902631;-0.017
04D1hd      ;0.368;0.369;22.157;0.086;0.789;0.068;-0.092;0.022;8.199;0.09;53268.298;0.081;0.00007;0.00044;-0.00015;1;36.536808;-4.109634;0
04D1hx      ;0.559;0.56;23.7;0.09;0.285;0.192;0.112;0.035;9.645;0.134;53260.059;0.267;0.00135;0.00052;0.00007;1;36.177063;-4.790326;0.001
04D1hy      ;0.849;0.85;24.295;0.101;1.151;0.276;-0.054;0.055;8.086;0.826;53264.641;0.394;0.00328;-0.00075;0.00035;1;36.036226;-4.831071;-0.016
04D1iv      ;0.996;0.998;24.618;0.112;1.273;0.343;-0.131;0.051;9.034;0.45;53264.473;0.474;0.00626;-0.00151;0.0017;1;36.200212;-4.152559;-0.031
04D1jd      ;0.777;0.778;24.398;0.098;0.135;0.287;0.099;0.07;10.38;0.148;53259.204;0.451;0.00349;-0.00064;0.00204;1;36.961818;-4.94379;-0.01
04D1jg      ;0.583;0.5842;23.273;0.09;0.265;0.159;-0.105;0.034;11.338;0.15;53273.566;0.213;0.00149;0.00037;0.00048;1;36.552319;-4.1348;0.001
04D1kj      ;0.584;0.585;23.336;0.089;0.218;0.126;-0.063;0.03;9.929;0.108;53297.246;0.167;0.0008;0.00036;-0.00002;1;36.969417;-4.180252;0.001
04D1ks      ;0.797;0.798;24.129;0.098;0.699;0.263;0.094;0.062;7.966;0.719;53291.39;0.382;0.00318;-0.00054;0.0015;1;36.039649;-4.978721;-0.011
04D1oh      ;0.589;0.59;23.396;0.091;-0.067;0.207;-0.069;0.033;9.17;0.152;53308.275;0.204;0.00311;0.0004;0.00062;1;36.25984;-4.236187;0.001
04D1ow      ;0.913;0.915;24.344;0.105;-0.044;0.286;-0.161;0.052;9.397;1.374;53311.746;0.341;0.00552;-0.00081;0.00107;1;36.677899;-4.30619;-0.023
04D1pc      ;0.769;0.77;24.546;0.097;-0.334;0.339;0.085;0.064;10.418;0.18;53324.792;0.461;0.00424;-0.00006;0.0035;1;36.60365;-4.3994;-0.009
04D1pd      ;0.948;0.95;24.677;0.112;0.183;0.422;0.041;0.061;10.215;0.114;53318.504;0.675;0.0105;-0.00153;0.00254;1;36.915633;-4.631172;-0.026
